c_0001;ALTER;GESCHLECHT;BILDUNG;LAND;LAND_2;BLUTSPENDEVERHALTEN;BLUTSPENDEORGANISATION;BLUTSPENDEORGANISATION_2;AMOTIVATION_1;AMOTIVATION_2;AMOTIVATION_3;EXTERNAL_REGULATION_1;EXTERNAL_REGULATION_2;EXTERNAL_REGULATION_3;INTROJECTED_REGULATION_1;INTROJECTED_REGULATION_2;ATTENTION_CHECK;INTROJECTED_REGULATION_3;IDENTIFIED_REGUALTION_1;IDENTIFIED_REGUALTION_2;IDENTIFIED_REGUALTION_3;INTEGRATED_REGULATION_1;INTEGRATED_REGULATION_2;INTEGRATED_REGULATION_3;INTRINSIC_REGUALTION_1;INTRINSIC_REGUALTION_2;INTRINSIC_REGUALTION_3;INTENTION_1;INTENTION_2;INTENTION_3;;;;;;;;;;;;;;;;;;
1;37;1;5;1;-99;1;1;-99;1;4;1;2;6;2;2;6;1;5;7;7;7;6;4;6;5;5;4;1;1;1;;;;;;;;;;;;;;;;;;
3;27;1;2;1;-99;1;1;-99;3;4;3;1;1;1;3;6;4;4;4;6;5;5;4;5;5;5;4;6;6;6;;;;;;;;;;;;;;;;;;
2;34;1;4;1;-99;1;1;-99;1;1;7;1;1;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;31;2;2;1;-99;1;1;-99;1;1;1;2;2;1;6;7;1;7;7;7;7;7;6;7;7;5;7;7;7;7;;;;;;;;;;;;;;;;;;
1;37;1;3;1;-99;1;1;-99;1;1;7;5;5;5;7;7;1;7;7;7;7;7;7;7;6;7;7;7;7;7;;;;;;;;;;;;;;;;;;
2;43;1;2;1;-99;1;1;-99;1;4;1;2;3;2;4;4;1;6;5;7;6;6;5;5;7;5;3;6;6;6;;;;;;;;;;;;;;;;;;
2;40;2;7;1;-99;1;1;-99;1;3;1;1;5;1;1;5;1;3;7;7;7;5;5;7;6;5;6;7;7;7;;;;;;;;;;;;;;;;;;
1;30;1;2;1;-99;1;1;-99;1;3;1;1;3;5;3;4;4;4;7;7;6;7;7;7;6;7;6;6;6;6;;;;;;;;;;;;;;;;;;
3;35;1;2;1;-99;1;1;-99;1;3;1;1;1;1;7;7;1;7;7;7;7;5;4;7;5;7;5;7;7;7;;;;;;;;;;;;;;;;;;
2;28;1;4;1;-99;1;1;-99;1;2;7;3;2;5;4;6;1;5;6;7;6;6;5;6;5;7;6;6;6;6;;;;;;;;;;;;;;;;;;
1;51;1;2;1;-99;1;1;-99;1;1;1;1;5;1;4;1;1;4;7;7;7;7;4;7;5;1;6;4;4;5;;;;;;;;;;;;;;;;;;
1;45;1;4;1;-99;1;1;-99;1;1;1;1;1;1;3;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;56;1;2;1;-99;1;1;-99;1;3;1;1;1;1;6;6;1;6;6;7;7;4;7;5;6;6;4;7;7;7;;;;;;;;;;;;;;;;;;
2;60;2;4;1;-99;1;1;-99;1;3;1;1;1;1;4;4;1;1;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;29;2;3;1;-99;1;1;-99;1;1;1;1;1;1;2;2;1;6;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;43;1;2;1;-99;1;1;-99;1;1;1;1;1;7;5;6;1;7;7;7;7;4;5;6;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
2;30;1;5;1;-99;1;1;-99;1;3;6;1;1;1;5;5;1;4;7;7;6;4;6;6;3;5;4;7;7;7;;;;;;;;;;;;;;;;;;
3;28;1;5;1;-99;1;1;-99;1;2;1;3;5;5;2;3;1;4;6;7;7;5;7;6;6;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;61;2;3;1;-99;1;1;-99;1;5;1;1;1;1;7;6;1;6;6;7;7;7;7;7;6;7;6;7;7;7;;;;;;;;;;;;;;;;;;
2;58;1;6;1;-99;1;4;Blutbank der Universität Gießen;1;1;1;1;3;3;4;4;1;4;4;6;7;5;5;4;4;6;4;4;4;4;;;;;;;;;;;;;;;;;;
2;22;1;4;1;-99;1;1;-99;1;2;1;3;3;1;4;5;1;6;5;7;5;6;7;5;4;5;5;7;7;7;;;;;;;;;;;;;;;;;;
1;38;2;5;1;-99;1;1;-99;1;4;1;1;1;1;3;1;1;7;7;7;7;6;5;6;6;5;4;1;7;1;;;;;;;;;;;;;;;;;;
1;34;1;2;1;-99;1;1;-99;1;4;7;7;4;4;1;1;1;4;7;7;7;1;3;7;4;4;7;7;7;7;;;;;;;;;;;;;;;;;;
1;37;1;3;1;-99;1;1;-99;1;2;1;2;5;1;3;5;1;7;7;7;7;6;4;7;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;40;1;3;1;-99;1;1;-99;1;1;1;1;2;1;4;6;1;6;7;7;7;7;6;6;7;7;5;6;7;7;;;;;;;;;;;;;;;;;;
2;34;1;1;1;-99;1;1;-99;1;1;6;4;2;6;1;6;1;6;6;6;7;5;4;5;7;6;5;1;6;2;;;;;;;;;;;;;;;;;;
